kind,task,path,line,date
PROMOTED,T10,docs/tasks/archive/2026-04-10-round3-privacy-and-skip.md,16,2026-04-10
PROMOTED,T10,docs/tasks/archive/2026-04-10-t16-validator-convergence.md,18,2026-04-10
PROMOTED,,docs/tasks/archive/2026-04-11-t35-frontend-prefix-strip.md,27,2026-04-11
PROMOTED,,docs/tasks/archive/2026-04-11-t35-frontend-prefix-strip.md,42,2026-04-11
PROMOTED,,docs/tasks/archive/2026-04-12-t54-t34b-t35c-final-batch.md,23,2026-04-12
ACCEPT,,docs/tasks/archive/2026-04-27-t135c-gcp-key-referrer-restriction.md,6,2026-04-27
ACCEPT,,docs/tasks/archive/2026-04-27-t145-eslintrc-cjs.md,7,2026-04-27
RATIFIED,,docs/tasks/archive/2026-04-27-t145-eslintrc-cjs.md,7,2026-04-27
RATIFIED,,docs/tasks/archive/2026-04-27-t145-eslintrc-cjs.md,15,2026-04-27
ACCEPT,,docs/tasks/archive/2026-04-27-t146-assumptions-confirmation-gate.md,7,2026-04-27
RATIFIED,,docs/tasks/archive/2026-04-27-t146-assumptions-confirmation-gate.md,7,2026-04-27
RATIFIED,,docs/tasks/archive/2026-04-27-t146-assumptions-confirmation-gate.md,42,2026-04-27
ACCEPT,,docs/tasks/archive/2026-04-27-t146a-confirm-required-gate-universal.md,7,2026-04-27
RATIFIED,,docs/tasks/archive/2026-04-27-t146a-confirm-required-gate-universal.md,7,2026-04-27
PROMOTED,T106a,docs/tasks/archive/2026-04-27-t146a-confirm-required-gate-universal.md,14,2026-04-27
PROMOTED,,docs/tasks/archive/2026-04-27-t146a-confirm-required-gate-universal.md,15,2026-04-27
RATIFIED,T143a,docs/tasks/archive/2026-04-27-t146a-confirm-required-gate-universal.md,70,2026-04-27
ACCEPT,T146a,docs/tasks/archive/2026-04-27-t146a-confirm-required-gate-universal.md,92,2026-04-27
PROMOTED,T106a,docs/tasks/archive/2026-04-27-t146a-confirm-required-gate-universal.md,109,2026-04-27
ACCEPT,,docs/tasks/archive/2026-04-27-t146b-atomic-parked-accepted-write.md,7,2026-04-27
RATIFIED,,docs/tasks/archive/2026-04-27-t146b-atomic-parked-accepted-write.md,40,2026-04-27
CONFIRMED,,docs/tasks/archive/2026-04-27-t146b-atomic-parked-accepted-write.md,69,2026-04-27
RATIFIED,T146,docs/tasks/archive/2026-04-27-t146b-atomic-parked-accepted-write.md,89,2026-04-27
PROMOTED,T126,docs/tasks/archive/2026-04-27-t146b-atomic-parked-accepted-write.md,91,2026-04-27
RATIFIED,T147,docs/tasks/archive/2026-04-27-t146b-atomic-parked-accepted-write.md,100,2026-04-27
ACCEPT,,docs/tasks/archive/2026-04-27-t147-activation-cleanup-and-verb-filter.md,7,2026-04-27
RATIFIED,,docs/tasks/archive/2026-04-27-t147-activation-cleanup-and-verb-filter.md,7,2026-04-27
CONFIRMED,,docs/tasks/archive/2026-04-27-t147-activation-cleanup-and-verb-filter.md,42,2026-04-27
PROMOTED,,docs/tasks/archive/2026-04-28-t126-phase-order-tdl-sort.md,4,2026-04-28
ACCEPT,,docs/tasks/archive/2026-04-28-t126-phase-order-tdl-sort.md,7,2026-04-28
RATIFIED,,docs/tasks/archive/2026-04-28-t148-milestone-field-path-stability.md,99,2026-04-28
RATIFIED,,docs/tasks/archive/2026-04-28-t149-internal-team-form-prefill-is-lead.md,67,2026-04-28
RATIFIED,T129,docs/tasks/archive/2026-04-29-t150-governance-acceptance-defer-to-validator.md,59,2026-04-29
RATIFIED,,docs/tasks/archive/2026-04-29-t150-governance-acceptance-defer-to-validator.md,81,2026-04-29
RATIFIED,,docs/tasks/archive/2026-04-30-t161-silver-multi-team-classification.md,126,2026-04-30
RATIFIED,,docs/tasks/archive/2026-04-30-t161-silver-multi-team-classification.md,147,2026-04-30
